COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.5273,.3203,.2823,.8257,N,.5273
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",21.0389,.8886,.3774,61.1213,N,21.0389
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.1937,.2859,.114,.2957,N,.1937
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.2851,.5496,.0889,.5901,N,.2851
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.46,.2861,.2494,.6837,N,.46
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.3607,.2794,.2043,.5395,N,.3607
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.6978,.5404,.111,1.3478,N,.6978
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0454,.3443,.0217,.0719,N,.0454
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0902,.2799,.0507,.1325,N,.0902
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.1097,.2664,.0611,.1585,N,.1097
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",2.0252,.5993,.2217,4.3332,N,2.0252
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.2081,.2928,.1109,.3107,N,.2081
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.1827,.4222,.0706,.3124,N,.1827
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.0517,.4078,.0206,.0867,N,.0517
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",1.5242,.5739,.2059,2.9034,N,1.5242
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.083,.4916,.0236,.1507,N,.083
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.4834,.4803,.1374,.8793,N,.4834
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",2.908,.8474,.0396,8.3915,N,2.908
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.2271,.4219,.0858,.391,N,.2271
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.4785,.8398,.0323,1.2955,N,.4785
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.1318,.3549,.0634,.217,N,.1318
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.2883,.6528,.0463,.6619,N,.2883
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.15,.27,.0872,.2176,N,.15
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",5.4088,.4696,1.427,9.7593,N,5.4088
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",2.0854,.3759,.9158,3.4578,N,2.0854
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.0447,.4304,.3855,1.794,N,1.0447
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.4204,.2251,.2674,.5875,N,.4204
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",1.6835,.3436,.7958,2.7218,N,1.6835
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",25.2804,.8352,1.2488,69.9751,N,25.2804
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",10.8661,.8636,.5171,29.4036,N,10.8661
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",3.3233,.2662,1.9028,4.7487,N,3.3233
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",1.7758,.6111,.2737,3.5776,N,1.7758
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",1.7883,.3566,.7991,2.9063,N,1.7883
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",5.7095,.6156,.4749,11.8214,N,5.7095
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",.253,.3075,.1341,.3912,N,.253
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",15.8424,.3864,6.4624,26.876,N,15.8424
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",.9378,.6046,.0655,1.8432,N,.9378
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",4.7932,.7702,.129,9.4553,N,4.7932
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",.0303,.3487,.014,.0493,N,.0303
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",1.0521,.4864,.298,1.9709,N,1.0521
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",1.2402,.3867,.494,2.0619,N,1.2402
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",1.3424,.317,.6766,2.0533,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",5.6752,.273,3.2791,8.4743,N,5.6752
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",7.5332,.3151,3.7667,11.705,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",9.8701,.3666,4.0784,16.0471,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",.7382,.1678,.5383,.9443,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",4.2379,.3434,1.9743,6.8381,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",8.0072,.3501,3.6225,12.746,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",15.7159,.3838,6.7674,26.0424,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",42.7765,.1079,35.1135,50.5067,N,42.7765
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",2.7821,.2079,1.838,3.7129,N,2.7821
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",22.7365,.6209,3.0083,42.4286,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",18.8152,.3996,7.3662,31.4755,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",15.7671,.5753,3.7364,28.724,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",374.5877,.7086,56.9517,959.1543,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",59.8704,.5174,15.7553,120.7019,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",51.3238,.1296,41.2351,62.8778,Y,
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",43.3619,.3293,21.9592,69.5161,N,43.3619
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",.2961,.3642,.1286,.4639,N,.2961
"MACKEREL, ATLANTIC",172414,UNIT,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",5.7644,.2925,3.0875,8.5202,N,5.7644
